reviewer_role,trigger,citation,planned_days,note
Legal review (Center Chief Counsel),"JOFOC present, or estimated_value >= SAT (default until the Center value is entered)",NFS 1801.770 (legal review); no agency-wide dollar trigger stated in the NFS or NFS CG; Center policy and the forthcoming HQ Coordination and Approval Matrix govern; CG 1806.16 for JOFOC concurrences,5,"Center-configurable; show ""Center policy"" label"
Pricing review (Enterprise Pricing Office procedures),"contract_type is cost-type, or estimated_value >= certified cost or pricing data threshold (default until the EPO trigger is entered)",No agency-wide threshold stated in NFS CG 1815.4; Enterprise Pricing Procedures (EPO) govern; NFS 1815.404-470/-471 for structured fee,5,Center/EPO-configurable
"Small business coordination (NF 1787, Center SBS and SBA PCR)","estimated_value > micro-purchase threshold, excluding within-scope modifications and SBIR/STTR; NF 1787A market research at >= $2M",NFS 1819.202-70; NFS CG 1819.11; NFS CG 1810.12(c),3,verified 2026-09-11
Procurement Strategy Meeting / written acquisition plan,estimated_value > $10M: HCA approval (delegable to one level above the CO at <= $50M); >= $1B SPE; >= $2B or human spaceflight or radioactive: CAO with SPE concurrence; <= $10M: Center procedures,"NFS CG 1807.11, 1807.13",10,verified 2026-09-11
NASA Notification of Procurement Action (NPA),estimated_value >= $7M and < $30M,NFS CG 1805.31; NASA Notification of Procurement Action template (8/14/2026),5,verified 2026-09-11
ANOSCA,"estimated_value >= $30M, or deemed of significant interest at any value",NFS CG 1805.32,5,verified 2026-09-11
CIO authorization (IT),"requirement includes IT hardware, software, or services, at any dollar value","FITARA; NFS 1839 / NFS CG 1839; PCD 25-06A (also NFS 1839.70 RF use authorization, clause 1852.239-70)",5,verified 2026-09-11
Public announcement (8(a)),estimated_value >= $7M and 8(a) authority used,NFS CG 1805.31,2,verified 2026-09-11
Enterprise strategy coordination,estimated_value > SAT and requirement matches a PSL with required coordination,"Enterprise Procurement Strategies A-100, A-101(a), Rev. May 20, 2026",5,
Flight Operations Office concurrence,PSL A-102.7 Aircraft applies,Enterprise Procurement Strategies A-102.7,5,
"Aviation safety: Flight Operations Office, airworthiness review, and S&MA involvement","NF 1707 Section 5.V answered yes: acquisition or use of manned or unmanned aircraft, including charter or lease; NASA-contracted aircraft operate as public aircraft under NASA airworthiness authority; unique or external payloads require hazard identification",NPR 7900.3 (Aircraft Operations Management); NPD 7900.4E B.7; NPR 8715.3 Chapter 7,10,verified 2026-09-11
Section 508 / OCIO IT authorization (NF 1707 Section 2),NF 1707 Section 2: CITR or ORCA authorization when the procurement contains IT,NF 1707 Section 2; NFS CG 1839; PCD 25-06A,5,"the form's ""$7.5M"" figure is stale; CIO authorization applies at any value"
Quality assurance POC,NF 1707 Section 6 marks critical or complex items or higher-level quality,NPR 8735.2C; FAR 46.202-4; NFS 1846,3,
Sources sought notice (NASA),estimated_value >= $50M,NFS CG 1805.11: minimum 10 business days in the GPE,10,verified 2026-09-11
